,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
61937,2023,SE,FT,Security Engineer,212800,USD,212800,US,0,US,L
61938,2023,SE,FT,Security Engineer,135500,USD,135500,US,0,US,L
61939,2023,MI,FT,Security Engineer,225000,USD,225000,US,0,US,M
61940,2023,MI,FT,Security Engineer,191000,USD,191000,US,0,US,M
61941,2023,SE,FT,Security Engineer,170000,USD,170000,US,0,US,M
61942,2023,SE,FT,Security Engineer,120000,USD,120000,US,0,US,M
61943,2023,EN,FT,Cloud Cyber Security Analyst,50000,USD,50000,US,100,US,S
61944,2023,SE,FT,Security Engineer,185000,USD,185000,US,100,US,M
61945,2023,SE,FT,Security Engineer,175000,USD,175000,US,100,US,M
61946,2023,SE,FT,Security Engineer,247500,USD,247500,US,0,US,M
61947,2023,SE,FT,Security Engineer,153000,USD,153000,US,0,US,M
61948,2023,SE,FT,Security Engineer,260600,USD,260600,US,100,US,M
61949,2023,SE,FT,Security Engineer,200800,USD,200800,US,100,US,M
61950,2023,SE,FT,Security Engineer,316000,USD,316000,US,0,US,M
61951,2023,SE,FT,Security Engineer,202000,USD,202000,US,0,US,M
61952,2023,SE,FT,Security Engineer,190000,USD,190000,US,100,US,M
61953,2023,SE,FT,Security Engineer,136000,USD,136000,US,100,US,M
61954,2023,SE,FT,Product Security Manager,150000,USD,150000,US,100,US,M
61955,2023,SE,FT,Product Security Manager,140000,USD,140000,US,100,US,M
61956,2023,SE,FT,Security Engineer,226000,USD,226000,US,100,US,M
61957,2023,SE,FT,Security Engineer,162000,USD,162000,US,100,US,M
61958,2023,SE,FT,Security Engineer,247600,USD,247600,US,0,US,L
61959,2023,SE,FT,Security Engineer,136000,USD,136000,US,0,US,L
61960,2023,SE,FT,Security Engineer,168000,USD,168000,US,100,US,M
61961,2023,SE,FT,Security Engineer,120000,USD,120000,US,100,US,M
61962,2023,SE,FT,Security Engineer,212800,USD,212800,US,0,US,L
61963,2023,SE,FT,Security Engineer,159300,USD,159300,US,0,US,L
61964,2023,SE,FT,Threat Researcher,226800,USD,226800,US,0,US,M
61965,2023,SE,FT,Threat Researcher,151200,USD,151200,US,0,US,M
61966,2023,SE,FT,DevSecOps Engineer,160000,USD,160000,US,0,US,M
61967,2023,SE,FT,DevSecOps Engineer,130000,USD,130000,US,0,US,M
61968,2023,MI,FT,DevSecOps Engineer,180000,USD,180000,US,0,US,M
61969,2023,MI,FT,DevSecOps Engineer,140000,USD,140000,US,0,US,M
61970,2023,MI,FT,Security Analyst,145000,USD,145000,US,0,US,M
61971,2023,MI,FT,Security Analyst,115000,USD,115000,US,0,US,M
61972,2023,SE,FT,DevSecOps Engineer,180000,USD,180000,US,0,US,M
61973,2023,SE,FT,DevSecOps Engineer,140000,USD,140000,US,0,US,M
61974,2023,MI,FT,Lead Information Security Engineer,166500,USD,166500,US,50,US,L
61975,2023,SE,FT,Security Engineer,212800,USD,212800,US,0,US,L
61976,2023,SE,FT,Security Engineer,135500,USD,135500,US,0,US,L
61977,2023,SE,FT,Security Engineer,212800,USD,212800,US,0,US,L
61978,2023,SE,FT,Security Engineer,135500,USD,135500,US,0,US,L
61979,2023,SE,FT,Security Engineer,329500,USD,329500,US,0,US,M
61980,2023,SE,FT,Security Engineer,269600,USD,269600,US,0,US,M
61981,2023,MI,FT,Security Engineer,160000,USD,160000,US,0,US,M
61982,2023,MI,FT,Security Engineer,114000,USD,114000,US,0,US,M
61983,2023,SE,FT,Security Specialist,180000,USD,180000,US,0,US,M
61984,2023,SE,FT,Security Specialist,155000,USD,155000,US,0,US,M
61985,2023,MI,FT,Software Reverse Engineer,240000,USD,240000,US,0,US,M
61986,2023,MI,FT,Software Reverse Engineer,150000,USD,150000,US,0,US,M
61987,2023,SE,FT,Security Engineer,168400,USD,168400,US,0,US,M
61988,2023,SE,FT,Security Engineer,105200,USD,105200,US,0,US,M
61989,2023,SE,FT,Security Engineer,260000,USD,260000,US,100,US,M
61990,2023,SE,FT,Security Engineer,195000,USD,195000,US,100,US,M
61991,2023,SE,FT,Security Engineer,204030,USD,204030,IN,0,IN,M
61992,2023,SE,FT,Security Engineer,119970,USD,119970,IN,0,IN,M
61993,2023,SE,FT,Security Engineer,225000,USD,225000,US,0,US,M
61994,2023,SE,FT,Security Engineer,156400,USD,156400,US,0,US,M
61995,2023,SE,FT,Security Engineer,272300,USD,272300,US,0,US,M
61996,2023,SE,FT,Security Engineer,189400,USD,189400,US,0,US,M
61997,2023,MI,FT,Cyber Security Consultant,120000,USD,120000,US,100,US,L
61998,2023,EN,FT,Information Security Officer,60000,EUR,64781,DE,50,DE,L
61999,2023,SE,FT,Security Engineer,189750,USD,189750,US,0,US,M
62000,2023,SE,FT,Security Engineer,131100,USD,131100,US,0,US,M
62001,2023,SE,FT,Security Engineer,204500,USD,204500,US,0,US,M
62002,2023,SE,FT,Security Engineer,142200,USD,142200,US,0,US,M
62003,2023,SE,FT,Security Architect,190000,USD,190000,US,0,US,M
62004,2023,SE,FT,Security Architect,160000,USD,160000,US,0,US,M
62005,2023,SE,FT,DevSecOps Engineer,250000,USD,250000,US,100,US,M
62006,2023,SE,FT,DevSecOps Engineer,122000,USD,122000,US,100,US,M
62007,2023,SE,FT,Security Engineer,250000,USD,250000,US,100,US,M
62008,2023,SE,FT,Security Engineer,181000,USD,181000,US,100,US,M
62009,2023,SE,FT,Security Engineer,247600,USD,247600,US,0,US,L
62010,2023,SE,FT,Security Engineer,136000,USD,136000,US,0,US,L
62011,2023,SE,FT,Security Engineer,247600,USD,247600,US,0,US,L
62012,2023,SE,FT,Security Engineer,136000,USD,136000,US,0,US,L
62013,2023,SE,FT,Detection Engineer,177300,USD,177300,GB,0,GB,M
62014,2023,SE,FT,Detection Engineer,136300,USD,136300,GB,0,GB,M
62015,2023,EN,FT,Cyber Security Analyst,70000,USD,70000,US,100,US,L
62016,2023,SE,FT,Security Engineer,212800,USD,212800,US,0,US,L
