date,country,keyword,interest
2023-01-29,MX,Tether,0
2023-02-05,MX,Tether,0
2023-02-12,MX,Tether,0
2023-02-19,MX,Tether,0
2023-02-26,MX,Tether,0
2023-03-05,MX,Tether,0
2023-03-12,MX,Tether,0
2023-03-19,MX,Tether,0
2023-03-26,MX,Tether,0
2023-04-02,MX,Tether,0
2023-04-09,MX,Tether,0
2023-04-16,MX,Tether,0
2023-04-23,MX,Tether,0
2023-04-30,MX,Tether,0
2023-05-07,MX,Tether,0
2023-05-14,MX,Tether,0
2023-05-21,MX,Tether,0
2023-05-28,MX,Tether,0
2023-06-04,MX,Tether,0
2023-06-11,MX,Tether,0
2023-06-18,MX,Tether,0
2023-06-25,MX,Tether,0
2023-07-02,MX,Tether,0
2023-07-09,MX,Tether,0
2023-07-16,MX,Tether,0
2023-07-23,MX,Tether,0
2023-07-30,MX,Tether,0
2023-08-06,MX,Tether,0
2023-08-13,MX,Tether,0
2023-08-20,MX,Tether,1
2023-08-27,MX,Tether,0
2023-09-03,MX,Tether,0
2023-09-10,MX,Tether,0
2023-09-17,MX,Tether,0
2023-09-24,MX,Tether,0
2023-10-01,MX,Tether,0
2023-10-08,MX,Tether,0
2023-10-15,MX,Tether,0
2023-10-22,MX,Tether,0
2023-10-29,MX,Tether,0
2023-11-05,MX,Tether,0
2023-11-12,MX,Tether,0
2023-11-19,MX,Tether,0
2023-11-26,MX,Tether,0
2023-12-03,MX,Tether,0
2023-12-10,MX,Tether,0
2023-12-17,MX,Tether,1
2023-12-24,MX,Tether,0
2023-12-31,MX,Tether,0
2024-01-07,MX,Tether,0
2024-01-14,MX,Tether,0
2024-01-21,MX,Tether,0
2024-01-28,MX,Tether,0
2024-02-04,MX,Tether,0
2024-02-11,MX,Tether,0
2024-02-18,MX,Tether,0
2024-02-25,MX,Tether,1
2024-03-03,MX,Tether,1
2024-03-10,MX,Tether,0
2024-03-17,MX,Tether,0
2024-03-24,MX,Tether,1
2024-03-31,MX,Tether,1
2024-04-07,MX,Tether,0
2024-04-14,MX,Tether,0
2024-04-21,MX,Tether,0
2024-04-28,MX,Tether,0
2024-05-05,MX,Tether,0
2024-05-12,MX,Tether,0
2024-05-19,MX,Tether,0
2024-05-26,MX,Tether,0
2024-06-02,MX,Tether,0
2024-06-09,MX,Tether,0
2024-06-16,MX,Tether,1
2024-06-23,MX,Tether,0
2024-06-30,MX,Tether,0
2024-07-07,MX,Tether,0
2024-07-14,MX,Tether,0
2024-07-21,MX,Tether,0
2024-07-28,MX,Tether,0
2024-08-04,MX,Tether,0
2024-08-11,MX,Tether,0
2024-08-18,MX,Tether,0
2024-08-25,MX,Tether,0
2024-09-01,MX,Tether,1
2024-09-08,MX,Tether,0
2024-09-15,MX,Tether,1
2024-09-22,MX,Tether,0
2024-09-29,MX,Tether,1
2024-10-06,MX,Tether,0
2024-10-13,MX,Tether,1
2024-10-20,MX,Tether,1
2024-10-27,MX,Tether,0
2024-11-03,MX,Tether,0
2024-11-10,MX,Tether,1
2024-11-17,MX,Tether,0
2024-11-24,MX,Tether,1
2024-12-01,MX,Tether,0
2024-12-08,MX,Tether,0
2024-12-15,MX,Tether,1
2024-12-22,MX,Tether,0
2024-12-29,MX,Tether,0
2025-01-05,MX,Tether,0
2025-01-12,MX,Tether,1
2025-01-19,MX,Tether,0
2025-01-26,MX,Tether,0
2025-02-02,MX,Tether,0
2025-02-09,MX,Tether,0
2025-02-16,MX,Tether,1
2025-02-23,MX,Tether,0
2025-03-02,MX,Tether,0
2025-03-09,MX,Tether,0
2025-03-16,MX,Tether,1
2025-03-23,MX,Tether,0
2025-03-30,MX,Tether,0
2025-04-06,MX,Tether,1
2025-04-13,MX,Tether,0
2025-04-20,MX,Tether,1
2025-04-27,MX,Tether,0
2025-05-04,MX,Tether,0
2025-05-11,MX,Tether,0
2025-05-18,MX,Tether,1
2025-05-25,MX,Tether,1
2025-06-01,MX,Tether,1
2025-06-08,MX,Tether,0
2025-06-15,MX,Tether,1
2025-06-22,MX,Tether,1
2025-06-29,MX,Tether,1
2025-07-06,MX,Tether,1
2025-07-13,MX,Tether,1
2025-07-20,MX,Tether,0
2025-07-27,MX,Tether,1
2025-08-03,MX,Tether,0
2025-08-10,MX,Tether,1
2025-08-17,MX,Tether,0
2025-08-24,MX,Tether,0
2025-08-31,MX,Tether,0
2025-09-07,MX,Tether,0
2025-09-14,MX,Tether,0
2025-09-21,MX,Tether,0
2025-09-28,MX,Tether,0
2025-10-05,MX,Tether,0
2020-10-11,MX,Solana,1
2020-10-18,MX,Solana,1
2020-10-25,MX,Solana,1
2020-11-01,MX,Solana,1
2020-11-08,MX,Solana,1
2020-11-15,MX,Solana,1
2020-11-22,MX,Solana,1
2020-11-29,MX,Solana,1
2020-12-06,MX,Solana,1
2020-12-13,MX,Solana,1
2020-12-20,MX,Solana,1
2020-12-27,MX,Solana,1
2021-01-03,MX,Solana,1
2021-01-10,MX,Solana,1
2021-01-17,MX,Solana,1
2021-01-24,MX,Solana,1
2021-01-31,MX,Solana,1
2021-02-07,MX,Solana,1
2021-02-14,MX,Solana,1
2021-02-21,MX,Solana,1
2021-02-28,MX,Solana,1
2021-03-07,MX,Solana,1
2021-03-14,MX,Solana,1
2021-03-21,MX,Solana,1
2021-03-28,MX,Solana,1
2021-04-04,MX,Solana,2
2021-04-11,MX,Solana,1
2021-04-18,MX,Solana,1
2021-04-25,MX,Solana,1
2021-05-02,MX,Solana,2
2021-05-09,MX,Solana,1
2021-05-16,MX,Solana,2
2021-05-23,MX,Solana,2
2021-05-30,MX,Solana,1
2021-06-06,MX,Solana,2
2021-06-13,MX,Solana,1
2021-06-20,MX,Solana,1
2021-06-27,MX,Solana,1
2021-07-04,MX,Solana,2
2021-07-11,MX,Solana,2
